
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:22:32:84:F9:17, 2026-03-16 06:06:07, 2026-03-16 06:15:21,  1, 260, WPA2 OPN, CCMP, PSK, -44,     4050,    46697, 172. 20. 71. 37,   5, ULPGL, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:B6:26:55:E6:2E, 2026-03-16 06:06:07, 2026-03-16 06:08:04, -80,      327, 60:22:32:84:F9:17,
8E:0B:6B:2C:C0:EB, 2026-03-16 06:06:07, 2026-03-16 06:14:13, -76,     2154, 60:22:32:84:F9:17,
C6:B4:64:38:83:59, 2026-03-16 06:06:08, 2026-03-16 06:06:08, -74,        8, 60:22:32:84:F9:17,
3A:A0:C4:A8:B5:EF, 2026-03-16 06:06:08, 2026-03-16 06:12:08,  -1,       34, 60:22:32:84:F9:17,
24:11:45:5C:DB:56, 2026-03-16 06:06:15, 2026-03-16 06:08:08,  -1,      403, 60:22:32:84:F9:17,
6E:DF:50:04:8B:65, 2026-03-16 06:06:15, 2026-03-16 06:11:58, -72,        5, 60:22:32:84:F9:17,
DA:C8:DA:04:85:BB, 2026-03-16 06:06:18, 2026-03-16 06:06:27, -80,        7, 60:22:32:84:F9:17,
B2:1F:0E:C0:D5:2A, 2026-03-16 06:06:18, 2026-03-16 06:15:02, -78,       28, 60:22:32:84:F9:17,ULPGL
5E:80:E3:79:70:EB, 2026-03-16 06:06:24, 2026-03-16 06:06:25,  -1,        5, 60:22:32:84:F9:17,
6A:92:6E:6C:C2:57, 2026-03-16 06:06:27, 2026-03-16 06:09:27,  -1,       10, 60:22:32:84:F9:17,
92:63:59:DD:65:56, 2026-03-16 06:06:29, 2026-03-16 06:15:21,  -1,      116, 60:22:32:84:F9:17,
80:38:96:6D:D8:49, 2026-03-16 06:06:31, 2026-03-16 06:09:00, -78,      103, 60:22:32:84:F9:17,
26:64:E4:9A:65:2B, 2026-03-16 06:06:35, 2026-03-16 06:13:13, -72,      233, 60:22:32:84:F9:17,
D2:63:49:BD:43:57, 2026-03-16 06:06:36, 2026-03-16 06:10:15, -56,      162, 60:22:32:84:F9:17,ULPGL
EE:20:DC:3A:C3:20, 2026-03-16 06:06:47, 2026-03-16 06:14:17, -42,      231, 60:22:32:84:F9:17,
72:C5:A9:83:BD:88, 2026-03-16 06:07:07, 2026-03-16 06:10:14, -54,      668, 60:22:32:84:F9:17,
C6:0A:A9:C3:1C:C9, 2026-03-16 06:07:08, 2026-03-16 06:15:20, -76,      111, 60:22:32:84:F9:17,
BA:9C:01:42:36:2D, 2026-03-16 06:07:11, 2026-03-16 06:07:11,  -1,       16, 60:22:32:84:F9:17,
26:15:80:73:DA:12, 2026-03-16 06:07:35, 2026-03-16 06:14:54, -54,      100, 60:22:32:84:F9:17,ULPGL
46:9B:19:4C:A0:1D, 2026-03-16 06:07:44, 2026-03-16 06:14:46, -60,      169, 60:22:32:84:F9:17,
EA:C4:F9:1A:CB:03, 2026-03-16 06:07:45, 2026-03-16 06:07:46, -54,       14, 60:22:32:84:F9:17,
48:51:B7:00:A1:22, 2026-03-16 06:07:49, 2026-03-16 06:14:02,  -1,      115, 60:22:32:84:F9:17,
C2:A3:23:F9:7C:74, 2026-03-16 06:07:53, 2026-03-16 06:11:35, -74,       15, 60:22:32:84:F9:17,
26:86:6C:75:56:3A, 2026-03-16 06:08:04, 2026-03-16 06:08:06, -72,       13, 60:22:32:84:F9:17,
72:54:9F:85:72:CE, 2026-03-16 06:08:44, 2026-03-16 06:09:24, -74,      151, 60:22:32:84:F9:17,
BE:1F:1E:A9:6F:80, 2026-03-16 06:09:36, 2026-03-16 06:09:52, -80,       24, 60:22:32:84:F9:17,
16:20:E2:1A:A3:84, 2026-03-16 06:09:37, 2026-03-16 06:09:38, -76,        3, 60:22:32:84:F9:17,
3C:19:CB:D2:74:FD, 2026-03-16 06:09:38, 2026-03-16 06:10:06, -52,      243, 60:22:32:84:F9:17,
B0:72:BF:DE:16:09, 2026-03-16 06:09:40, 2026-03-16 06:10:09, -72,       92, 60:22:32:84:F9:17,
3A:13:D2:8F:33:4F, 2026-03-16 06:09:55, 2026-03-16 06:12:57, -78,      649, 60:22:32:84:F9:17,
8E:92:A7:D8:7D:CA, 2026-03-16 06:10:08, 2026-03-16 06:10:08, -68,        4, 60:22:32:84:F9:17,
80:00:0B:DF:76:04, 2026-03-16 06:10:23, 2026-03-16 06:10:53, -48,       30, 60:22:32:84:F9:17,
7E:66:24:0C:63:7A, 2026-03-16 06:10:35, 2026-03-16 06:10:35, -62,        6, 60:22:32:84:F9:17,
E2:ED:72:20:08:00, 2026-03-16 06:12:18, 2026-03-16 06:15:19, -72,       98, 60:22:32:84:F9:17,
EE:73:B8:0C:C8:72, 2026-03-16 06:12:59, 2026-03-16 06:14:39, -80,       72, 60:22:32:84:F9:17,
F0:79:E8:76:37:97, 2026-03-16 06:13:38, 2026-03-16 06:15:09, -68,       82, 60:22:32:84:F9:17,ULPGL
B6:C7:EE:6F:0B:EE, 2026-03-16 06:14:10, 2026-03-16 06:15:11, -72,      245, 60:22:32:84:F9:17,
4E:BD:C5:9C:27:AC, 2026-03-16 06:14:17, 2026-03-16 06:15:20,  -1,       86, 60:22:32:84:F9:17,
80:38:96:6E:BD:4E, 2026-03-16 06:14:45, 2026-03-16 06:14:51, -80,       23, 60:22:32:84:F9:17,ULPGL
6A:29:1E:C1:BB:02, 2026-03-16 06:15:16, 2026-03-16 06:15:18, -15,        5, 60:22:32:84:F9:17,
3E:08:11:9D:E2:EB, 2026-03-16 06:15:20, 2026-03-16 06:15:20, -78,        2, 60:22:32:84:F9:17,

